"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260717","일산선","대곡","8565","8445","20260720"
"20260717","과천선","대공원","18026","21251","20260720"
"20260717","7호선","대림(구로구청)","7956","8148","20260720"
"20260717","2호선","대림(구로구청)","17600","18107","20260720"
"20260717","분당선","대모산입구","3146","3004","20260720"
"20260717","경부선","대방","5754","6218","20260720"
"20260717","신림선","대방","2356","1625","20260720"
"20260717","경춘선","대성리","923","1100","20260720"
"20260717","안산선","대야미","3977","3513","20260720"
"20260717","3호선","대청","6111","5518","20260720"
"20260717","3호선","대치","8736","7973","20260720"
"20260717","일산선","대화","7453","6730","20260720"
"20260717","6호선","대흥(서강대앞)","6473","6524","20260720"
"20260717","경원선","덕계","4980","4867","20260720"
"20260717","중앙선","덕소","4366","4435","20260720"
"20260717","경원선","덕정","4755","4368","20260720"
"20260717","3호선","도곡","3306","2894","20260720"
"20260717","분당선","도곡","4165","4183","20260720"
"20260717","중앙선","도농","6405","6120","20260720"
"20260717","2호선","도림천","751","765","20260720"
"20260717","경원선","도봉","4517","4241","20260720"
"20260717","7호선","도봉산","6051","8279","20260720"
"20260717","경원선","도봉산","8049","5497","20260720"
"20260717","중앙선","도심","1960","1600","20260720"
"20260717","경인선","도원","2140","2238","20260720"
"20260717","경인선","도화","2887","2614","20260720"
"20260717","3호선","독립문","6162","6295","20260720"
"20260717","6호선","독바위","1802","1941","20260720"
"20260717","경부선","독산","8875","8121","20260720"
"20260717","6호선","돌곶이","7847","7127","20260720"
"20260717","1호선","동대문","16185","16044","20260720"
"20260717","4호선","동대문","21985","21827","20260720"
"20260717","4호선","동대문역사문화공원(DDP)","20652","17329","20260720"
"20260717","2호선","동대문역사문화공원(DDP)","16328","18580","20260720"
"20260717","5호선","동대문역사문화공원(DDP)","1707","1999","20260720"
"20260717","3호선","동대입구","7681","8743","20260720"
"20260717","경원선","동두천","1463","1451","20260720"
"20260717","경원선","동두천중앙","2373","2360","20260720"
"20260717","1호선","동묘앞","12938","14530","20260720"
"20260717","6호선","동묘앞","13409","13760","20260720"
"20260717","경인선","동암","12196","12184","20260720"
"20260717","경인선","동인천","11384","11172","20260720"
"20260717","4호선","동작(현충원)","1597","1676","20260720"
"20260717","9호선","동작(현충원)","1509","1440","20260720"
"20260717","경부선","두정","6773","6486","20260720"
"20260717","5호선","둔촌동","9401","9082","20260720"
"20260717","9호선2~3단계","둔촌오륜","2749","2799","20260720"
"20260717","9호선","등촌","8123","7599","20260720"
"20260717","공항철도 1호선","디지털미디어시티","6201","5986","20260720"
"20260717","경의선","디지털미디어시티","2114","1874","20260720"
"20260717","6호선","디지털미디어시티","7642","7842","20260720"
"20260717","2호선","뚝섬","16659","16542","20260720"
"20260717","5호선","마곡","9991","9973","20260720"
"20260717","공항철도 1호선","마곡나루(서울식물원)","6447","6914","20260720"
